1618356632.84	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.00', '17.36', '0.00']
1618356632.96	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.00', '17.36', '0.00']
1618356633.08	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.00', '17.36', '0.00']
1618356633.23	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.50', '18.28', '0.00']
1618356633.35	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.50', '18.28', '0.00']
1618356633.46	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.50', '18.28', '0.00']
1618356633.59	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.50', '18.28', '0.00']
1618356633.68	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.50', '18.28', '0.00']
1618356633.79	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.50', '18.28', '0.00']
1618356633.9	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.50', '18.28', '0.00']
1618356634.01	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.50', '18.28', '0.00']
1618356634.12	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.50', '18.28', '0.00']
1618356634.24	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.50', '18.28', '0.00']
1618356634.38	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.00', '19.20', '0.00']
1618356634.5	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.00', '19.20', '0.00']
1618356634.6	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.00', '19.20', '0.00']
1618356634.72	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.00', '19.20', '0.00']
1618356634.82	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.00', '19.20', '0.00']
1618356634.91	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.00', '19.20', '0.00']
1618356635.04	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.00', '19.20', '0.00']
1618356635.16	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.00', '19.20', '0.00']
1618356635.3	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.00', '19.20', '0.00']
1618356635.44	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.00', '19.20', '0.00']
1618356635.55	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.50', '20.12', '0.00']
1618356635.64	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.50', '20.12', '0.00']
1618356635.75	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.50', '20.12', '0.00']
1618356635.84	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.50', '20.12', '0.00']
1618356635.95	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.50', '20.12', '0.00']
1618356636.04	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.50', '20.12', '0.00']
1618356636.15	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.50', '20.12', '0.00']
1618356636.29	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.50', '20.12', '0.00']
1618356636.4	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['65.50', '20.12', '0.00']
1618356636.5	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.00', '21.04', '0.00']
1618356636.62	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.00', '21.04', '0.00']
1618356636.69	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.00', '21.04', '0.00']
1618356636.79	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.00', '21.04', '0.00']
1618356636.89	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.00', '21.04', '0.00']
1618356637.0	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.00', '21.04', '0.00']
1618356637.09	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.00', '21.04', '0.00']
1618356637.2	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.00', '21.04', '0.00']
1618356637.31	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.00', '21.04', '0.00']
1618356637.4	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.50', '21.96', '0.00']
1618356637.52	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.50', '21.96', '0.00']
1618356637.62	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.50', '21.96', '0.00']
1618356637.73	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.50', '21.96', '0.00']
1618356637.84	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.50', '21.96', '0.00']
1618356637.91	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.50', '21.96', '0.00']
1618356638.02	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.50', '21.96', '0.00']
1618356638.12	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.50', '21.96', '0.00']
1618356638.22	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.50', '21.96', '0.00']
1618356638.31	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['66.50', '21.96', '0.00']
1618356638.41	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.00', '22.88', '0.00']
1618356638.48	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.00', '22.88', '0.00']
1618356638.55	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.00', '22.88', '0.00']
1618356638.66	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.00', '22.88', '0.00']
1618356638.76	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.00', '22.88', '0.00']
1618356638.83	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.00', '22.88', '0.00']
1618356638.94	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.00', '22.88', '0.00']
1618356639.02	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.00', '22.88', '0.00']
1618356639.16	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.00', '22.88', '0.00']
1618356639.24	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.00', '22.88', '0.00']
1618356639.33	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.50', '23.80', '0.00']
1618356639.42	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.50', '23.80', '0.00']
1618356639.5	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.50', '23.80', '0.00']
1618356639.59	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.50', '23.80', '0.00']
1618356639.71	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.50', '23.80', '0.00']
1618356639.82	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.50', '23.80', '0.00']
1618356639.91	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.50', '23.80', '0.00']
1618356640.06	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['67.50', '23.80', '0.00']
1618356640.18	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.00', '24.72', '0.00']
1618356640.27	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.00', '24.72', '0.00']
1618356640.36	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.00', '24.72', '0.00']
1618356640.45	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.00', '24.72', '0.00']
1618356640.55	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.00', '24.72', '0.00']
1618356640.66	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.00', '24.72', '0.00']
1618356640.75	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.00', '24.72', '0.00']
1618356640.84	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.00', '24.72', '0.00']
1618356640.94	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.00', '24.72', '0.00']
1618356641.03	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.00', '24.72', '0.00']
1618356641.15	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.00', '24.72', '0.00']
1618356641.22	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.50', '25.64', '0.00']
1618356641.33	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.50', '25.64', '0.00']
1618356641.43	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.50', '25.64', '0.00']
1618356641.54	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.50', '25.64', '0.00']
1618356641.61	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.50', '25.64', '0.00']
1618356641.72	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.50', '25.64', '0.00']
1618356641.82	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.50', '25.64', '0.00']
1618356641.93	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['68.50', '25.64', '0.00']
